page,page_type,IssueType,Severity,AuditStatus,BusinessPriorityScore,PriorityTier,WhyItMatters,RecommendedFix,ResponsibleTeam,ValidationMethod,ObservedValue,CommerceScore,SEOOpportunityScore,Revenue,Purchases,AddToCarts
https://demo.example.com/page-010,Demo Category 01,Orphan / No Internal Inlinks,High,Audited,79.34,P2 High,Pages with no internal links are harder for users and crawlers to discover and receive little internal authority.,"Link to the page contextually from relevant category, product, navigation or editorial pages using descriptive anchors.",SEO / Content / Development,Re-crawl and verify at least one relevant internal inlink; review crawl depth.,0,91.0450928381963,62.84190981432361,3922.6067655899997,2.02,13.649999999999999
https://demo.example.com/page-011,Demo Category 01,Orphan / No Internal Inlinks,High,Audited,70.49,P2 High,Pages with no internal links are harder for users and crawlers to discover and receive little internal authority.,"Link to the page contextually from relevant category, product, navigation or editorial pages using descriptive anchors.",SEO / Content / Development,Re-crawl and verify at least one relevant internal inlink; review crawl depth.,0,46.36604774535809,68.26657824933687,0.0,0.0,3.6399999999999997
https://demo.example.com/page-007,Demo Category 01,Structured Data Missing,Medium,Audited,67.01,P2 High,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,86.50132625994696,83.234350132626,1492.2063144299998,1.01,27.299999999999997
https://demo.example.com/page-010,Demo Category 01,Canonical Points Elsewhere,Medium,Audited,64.34,P3 Medium,A non-self canonical may cause this URL's ranking signals to consolidate into another page.,"Verify the canonical target is intentional. If this page should rank independently, use a self-referencing canonical.",SEO / Development,"Re-crawl, compare canonical target and confirm Google-selected canonical in GSC.",https://demo.example.com/kiz-bebek-ilk-adim-sneaker,91.0450928381963,62.84190981432361,3922.6067655899997,2.02,13.649999999999999
https://demo.example.com/page-010,Demo Category 01,Structured Data Missing,Medium,Audited,64.34,P3 Medium,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,91.0450928381963,62.84190981432361,3922.6067655899997,2.02,13.649999999999999
https://demo.example.com/page-006,Demo Category 01,Structured Data Missing,Medium,Audited,55.75,P3 Medium,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,50.679045092838194,64.44933687002653,0.0,0.0,23.659999999999997
https://demo.example.com/page-011,Demo Category 01,Canonical Points Elsewhere,Medium,Audited,55.49,P3 Medium,A non-self canonical may cause this URL's ranking signals to consolidate into another page.,"Verify the canonical target is intentional. If this page should rank independently, use a self-referencing canonical.",SEO / Development,"Re-crawl, compare canonical target and confirm Google-selected canonical in GSC.",https://demo.example.com/kiz-bebek-ilk-adim-sneaker,46.36604774535809,68.26657824933687,0.0,0.0,3.6399999999999997
https://demo.example.com/page-011,Demo Category 01,Structured Data Missing,Medium,Audited,55.49,P3 Medium,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,46.36604774535809,68.26657824933687,0.0,0.0,3.6399999999999997
https://demo.example.com/page-014,Demo Category 01,Structured Data Missing,Medium,Audited,54.85,P3 Medium,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,46.90185676392573,64.07214854111406,0.0,0.0,4.55
https://demo.example.com/page-009,Demo Category 01,Structured Data Missing,Medium,Audited,53.28,P3 Medium,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,46.90185676392573,55.34694960212201,0.0,0.0,4.55
https://demo.example.com/page-013,Demo Category 01,Structured Data Missing,Medium,Audited,52.59,P3 Medium,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,49.06631299734748,48.87877984084881,0.0,0.0,10.919999999999998
https://demo.example.com/page-007,Demo Category 01,Images Missing Alt Text,Low,Audited,52.01,P3 Medium,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,86.50132625994696,83.234350132626,1492.2063144299998,1.01,27.299999999999997
https://demo.example.com/page-015,Demo Category 01,Structured Data Missing,Medium,Audited,51.12,P3 Medium,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,37.681697612732094,54.6315649867374,0.0,0.0,0.0
