page,page_type,keyword_intent,ScenarioLabel,ScenarioExplanation,ScenarioNarrative,CurrentClicks,CurrentImpressions,CurrentCTR,CurrentPosition,CurrentTrafficValue,CurrentContentScore,CurrentGeoReadinessScore,Scenario,RecommendedAction,ConfidenceLevel,PriorityTier,EffortScore,EstimatedImplementationCost,PredictedNextClicks,PredictedNextImpressions,PredictedTrafficValue,EstimatedClickChangePct,EstimatedImpressionChangePct,EstimatedPositionGain,EstimatedGeoScoreGain,EstimatedContentScoreGain,ScenarioContentScore,ScenarioGeoReadinessScore,BaselinePredictedClicks,ClicksUplift,ClicksUpliftPct,ExpectedIncrementalTrafficValue,ExpectedNetValue,EstimatedROI,PaybackPeriod,AdjustedNetValue,RecommendationReason,OpportunityScore,ExecutiveCommentary,CommentarySource
https://demo.example.com/,Demo Category 01,Transactional,Internal Linking Improvement,Strengthening internal links between related pages may improve discoverability and authority distribution.,"If Internal Linking Improvement is applied, estimated clicks may change by 9.4%, impressions by 13.7%, average position may improve by 0.7, and GEO readiness may increase by 4 points.",324.0,3193.19,0.1023,2.39,155.25,20.0,15.0,internal_linking_boost,Improve Internal Linking,High,High Priority,3,64.19999999999999,242.1952,3151.5330000000004,127.7724,9.39,13.73,0.7,4.0,8.0,28.0,19.0,221.25950000000003,7.929899999999991,2.787541325909167,4.045049999999996,57.14249999999986,1.0325749999999974,17.078651685393275,52.33049999999987,Additional internal links may improve discoverability and authority distribution.,137.48498399999997,"Bu category sayfası mevcut durumda 270 organik tıklama üretmektedir. Önerilen aksiyon Improve Internal Linking; model senaryosu Internal Linking Improvement olarak belirlenmiştir. Beklenen etki: 8.0 ek tıklama, %2.8 tıklama değişimi, 0.7 sıra pozisyonu iyileşmesi, 4.00 tahmini ek trafik değeri. Uygulama odağı: GEO hazırlığında +4 puan, öncelik seviyesi High Priority, model güveni High, tahmini ROI 1.00.",deterministic
https://demo.example.com/page-007,Demo Category 01,Uncategorized,Maintain Current Setup,Maintain the current SEO and GEO setup without applying additional optimization.,"If Maintain Current Setup is applied, estimated clicks may change by -92.1%, impressions by -40.8%, average position may improve by 0.0, and GEO readiness may increase by 0 points.",1.2,4.84,0.25,6.5,0.575,20.0,15.0,maintain,Maintain,High,Low Priority,1,0.0,0.06559999999999999,2.4885,0.0336,-92.06,-40.77,0.0,0.0,0.0,20.0,15.0,0.0616,0.0,0.0,0.0,0.0,0.0,,0.0,Current page performance supports maintaining the existing SEO setup.,4.534548,"Bu category sayfası mevcut durumda 1 organik tıklama üretmektedir. Önerilen aksiyon Maintain; model senaryosu Maintain Current Setup olarak belirlenmiştir. Uygulama odağı: öncelik seviyesi Low Priority, model güveni High.",deterministic_limit
https://demo.example.com/page-010,Demo Category 01,Uncategorized,Maintain Current Setup,Maintain the current SEO and GEO setup without applying additional optimization.,"If Maintain Current Setup is applied, estimated clicks may change by 0.0%, impressions by 123.8%, average position may improve by 0.0, and GEO readiness may increase by 0 points.",0.0,1.21,0.0,1.0,0.0,20.0,15.0,maintain,Maintain,High,Low Priority,1,0.0,0.18039999999999998,2.3520000000000003,0.0924,0.0,123.85,0.0,0.0,0.0,20.0,15.0,0.1694,0.0,0.0,0.0,0.0,0.0,,0.0,Current page performance supports maintaining the existing SEO setup.,0.0932959999999999,"Bu category sayfası mevcut durumda 0 organik tıklama üretmektedir. Önerilen aksiyon Maintain; model senaryosu Maintain Current Setup olarak belirlenmiştir. Uygulama odağı: öncelik seviyesi Low Priority, model güveni High.",deterministic_limit
https://demo.example.com/page-006,Demo Category 01,Uncategorized,Maintain Current Setup,Maintain the current SEO and GEO setup without applying additional optimization.,"If Maintain Current Setup is applied, estimated clicks may change by 0.0%, impressions by -29.9%, average position may improve by 0.0, and GEO readiness may increase by 0 points.",0.0,6.05,0.0,5.6,0.0,20.0,15.0,maintain,Maintain,High,Low Priority,1,0.0,0.07379999999999999,3.6854999999999998,0.0336,0.0,-29.87,0.0,0.0,0.0,20.0,15.0,0.0693,0.0,0.0,0.0,0.0,0.0,,0.0,Current page performance supports maintaining the existing SEO setup.,0.039204,"Bu category sayfası mevcut durumda 0 organik tıklama üretmektedir. Önerilen aksiyon Maintain; model senaryosu Maintain Current Setup olarak belirlenmiştir. Uygulama odağı: öncelik seviyesi Low Priority, model güveni High.",deterministic_limit
https://demo.example.com/page-013,Demo Category 01,Uncategorized,Maintain Current Setup,Maintain the current SEO and GEO setup without applying additional optimization.,"If Maintain Current Setup is applied, estimated clicks may change by 0.0%, impressions by -28.0%, average position may improve by 0.0, and GEO readiness may increase by 0 points.",0.0,3.63,0.0,3.0,0.0,20.0,15.0,maintain,Maintain,High,Low Priority,1,0.0,0.024599999999999997,2.2680000000000002,0.0168,0.0,-27.96,0.0,0.0,0.0,20.0,15.0,0.0231,0.0,0.0,0.0,0.0,0.0,,0.0,Current page performance supports maintaining the existing SEO setup.,0.0134639999999999,"Bu category sayfası mevcut durumda 0 organik tıklama üretmektedir. Önerilen aksiyon Maintain; model senaryosu Maintain Current Setup olarak belirlenmiştir. Uygulama odağı: öncelik seviyesi Low Priority, model güveni High.",deterministic_limit
https://demo.example.com/page-009,Demo Category 01,Uncategorized,Maintain Current Setup,Maintain the current SEO and GEO setup without applying additional optimization.,"If Maintain Current Setup is applied, estimated clicks may change by 0.0%, impressions by 9.9%, average position may improve by 0.0, and GEO readiness may increase by 0 points.",0.0,2.42,0.0,10.0,0.0,20.0,15.0,maintain,Maintain,Medium,Low Priority,1,0.0,0.016399999999999998,2.3100000000000005,0.0084,0.0,9.94,0.0,0.0,0.0,20.0,15.0,0.0154,0.0,0.0,0.0,0.0,0.0,,0.0,Current page performance supports maintaining the existing SEO setup.,0.00928,"Bu category sayfası mevcut durumda 0 organik tıklama üretmektedir. Önerilen aksiyon Maintain; model senaryosu Maintain Current Setup olarak belirlenmiştir. Uygulama odağı: öncelik seviyesi Low Priority, model güveni Medium.",deterministic_limit
https://demo.example.com/page-014,Demo Category 01,Uncategorized,Maintain Current Setup,Maintain the current SEO and GEO setup without applying additional optimization.,"If Maintain Current Setup is applied, estimated clicks may change by 0.0%, impressions by 117.3%, average position may improve by 0.0, and GEO readiness may increase by 0 points.",0.0,1.21,0.0,11.0,0.0,20.0,15.0,maintain,Maintain,High,Low Priority,1,0.0,0.016399999999999998,2.2785,0.0084,0.0,117.35,0.0,0.0,0.0,20.0,15.0,0.0154,0.0,0.0,0.0,0.0,0.0,,0.0,Current page performance supports maintaining the existing SEO setup.,0.009268,"Bu category sayfası mevcut durumda 0 organik tıklama üretmektedir. Önerilen aksiyon Maintain; model senaryosu Maintain Current Setup olarak belirlenmiştir. Uygulama odağı: öncelik seviyesi Low Priority, model güveni High.",deterministic_limit
https://demo.example.com/page-008,Demo Category 01,Uncategorized,Maintain Current Setup,Maintain the current SEO and GEO setup without applying additional optimization.,"If Maintain Current Setup is applied, estimated clicks may change by 0.0%, impressions by -1.3%, average position may improve by 0.0, and GEO readiness may increase by 0 points.",0.0,2.42,0.0,5.0,0.0,20.0,15.0,maintain,Review,Low,Low Priority,1,0.0,0.016399999999999998,2.0685000000000002,0.0084,0.0,-1.27,0.0,0.0,0.0,20.0,15.0,0.0154,0.0,0.0,0.0,0.0,0.0,,0.0,Low-confidence recommendation. Manual SEO validation is required.,0.009188,"Bu category sayfası mevcut durumda 0 organik tıklama üretmektedir. Önerilen aksiyon Review; model senaryosu Maintain Current Setup olarak belirlenmiştir. Uygulama odağı: öncelik seviyesi Low Priority, model güveni Low.",deterministic_limit
https://demo.example.com/page-015,Demo Category 01,Uncategorized,Maintain Current Setup,Maintain the current SEO and GEO setup without applying additional optimization.,"If Maintain Current Setup is applied, estimated clicks may change by 0.0%, impressions by 97.0%, average position may improve by 0.0, and GEO readiness may increase by 0 points.",0.0,1.21,0.0,10.0,0.0,20.0,15.0,maintain,Review,Low,Low Priority,1,0.0,0.016399999999999998,2.0685000000000002,0.0084,0.0,97.05,0.0,0.0,0.0,20.0,15.0,0.0154,0.0,0.0,0.0,0.0,0.0,,0.0,Low-confidence recommendation. Manual SEO validation is required.,0.009188,"Bu category sayfası mevcut durumda 0 organik tıklama üretmektedir. Önerilen aksiyon Review; model senaryosu Maintain Current Setup olarak belirlenmiştir. Uygulama odağı: öncelik seviyesi Low Priority, model güveni Low.",deterministic_limit
https://demo.example.com/page-012,Demo Category 01,Uncategorized,Maintain Current Setup,Maintain the current SEO and GEO setup without applying additional optimization.,"If Maintain Current Setup is applied, estimated clicks may change by 0.0%, impressions by 94.5%, average position may improve by 0.0, and GEO readiness may increase by 0 points.",0.0,1.21,0.0,8.0,0.0,20.0,15.0,maintain,Review,Low,Low Priority,1,0.0,0.016399999999999998,2.0475,0.0084,0.0,94.54,0.0,0.0,0.0,20.0,15.0,0.0154,0.0,0.0,0.0,0.0,0.0,,0.0,Low-confidence recommendation. Manual SEO validation is required.,0.0091799999999999,"Bu category sayfası mevcut durumda 0 organik tıklama üretmektedir. Önerilen aksiyon Review; model senaryosu Maintain Current Setup olarak belirlenmiştir. Uygulama odağı: öncelik seviyesi Low Priority, model güveni Low.",deterministic_limit
